,0
0,2019020895
1,2019020896
2,2019020897
3,2019020898
4,2019020899
5,2019020900
6,2019020901
7,2019020902
8,2019020903
9,2019020904
10,2019020905
11,2019020906
12,2019020907
13,2019020908
14,2019020909
15,2019020912
16,2019020910
17,2019020911
18,2019020913
19,2019020914
20,2019020917
21,2019020915
22,2019020916
23,2019020918
24,2019020919
25,2019020920
26,2019020921
27,2019020922
28,2019020923
29,2019020924
30,2019020925
31,2019020926
32,2019020927
33,2019020929
34,2019020928
35,2019020931
36,2019020930
37,2019020932
